,Filing Date,Symbol,Company Name,Price Range,Shares Offered,Price Range_nos,Avg_price,Shares_offered_value
0,2024-04-29,HWEC,"HW Electro Co., Ltd.",3.00,3750000.0,1,3.0,11250000.0
1,2024-04-29,DTSQ,DT Cloud Star Acquisition Corporation,10.00,6000000.0,1,10.0,60000000.0
2,2024-04-26,EURK,Eureka Acquisition Corp,10.00,5000000.0,1,10.0,50000000.0
3,2024-04-26,HDL,Super Hi International Holding Ltd.,-,,0,0.0,
4,2024-04-22,DRJT,Derun Group Inc,5.00,,1,5.0,
5,2024-04-19,GPAT,GP-Act III Acquisition Corp.,10.00,25000000.0,1,10.0,250000000.0
6,2024-04-16,JLJT,Jialiang Holdings Ltd,5.00,,1,5.0,
7,2024-04-15,GAUZ,Gauzy Ltd.,-,,0,0.0,
8,2024-04-12,BOW,Bowhead Specialty Holdings Inc.,-,,0,0.0,
9,2024-04-05,SPHL,Springview Holdings Ltd,4.00 - 5.00,2000000.0,2,4.5,9000000.0
10,2024-04-02,FFFZ,Fuxing China Group Limited,4.00 - 4.50,2000000.0,2,4.25,8500000.0
11,2024-04-01,LSH,Lakeside Holding Limited,4.00 - 5.00,1250000.0,2,4.5,5625000.0
12,2024-04-01,XXC,Xinxu Copper Industry Technology Limited,-,,0,0.0,
13,2024-03-29,OCP,Huge Amount Group Limited,-,,0,0.0,
14,2024-03-28,RITR,Reitar Logtech Holdings Limited,4.00 - 5.00,2500000.0,2,4.5,11250000.0
15,2024-03-26,NTCL,NetClass Technology Inc,5.00 - 6.00,1800000.0,2,5.5,9900000.0
16,2024-03-25,JCY,Jingcaoyuan Holdings Inc,-,,0,0.0,
17,2024-03-22,CCIX,Churchill Capital Corp IX,10.00,25000000.0,1,10.0,250000000.0
18,2024-03-21,LXTM,"Lei Xin Holdings Co., Ltd.",-,,0,0.0,
19,2024-03-15,LBRJ,"Libera Gaming Operations, Inc.",5.00 - 7.00,1000000.0,2,6.0,6000000.0
20,2024-03-15,MCTR,CTRL Group Limited,-,,0,0.0,
21,2024-03-12,SUKE,Suke Limited,4.00 - 6.00,2000000.0,2,5.0,10000000.0
22,2024-03-11,RFAI,RF Acquisition Corp II,10.00,10000000.0,1,10.0,100000000.0
23,2024-03-07,CUPR,Cuprina Holdings (Cayman) Limited,-,,0,0.0,
